[INFO ] 2015-01-16 13:40:29,255 [MSC service thread 1-8] Logback logging API implementation is configured.
[INFO ] 2015-01-16 13:41:00,560 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 13:41:00,715 [default task-14] Request for query 3392903 is finished
[INFO ] 2015-01-16 13:41:01,008 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 13:41:01,225 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 13:41:01,228 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 13:41:04,817 [default task-23] Request for query 3392903 is finished
[INFO ] 2015-01-16 13:41:04,920 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 13:41:06,129 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 13:41:06,359 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 13:43:31,914 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 13:43:31,915 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 13:43:32,078 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 14:10:54,301 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 14:10:54,302 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 14:10:54,324 [repositories/fiteagle] POST query 466162361
[INFO ] 2015-01-16 14:10:54,367 [repositories/fiteagle] Request for query 466162361 is finished
[INFO ] 2015-01-16 14:10:54,506 [repositories/fiteagle] POST SPARQL update request to repository
[INFO ] 2015-01-16 14:10:54,535 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 14:10:54,537 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 14:10:54,543 [repositories/fiteagle] POST query 466162361
[INFO ] 2015-01-16 14:10:54,546 [repositories/fiteagle] Request for query 466162361 is finished
[INFO ] 2015-01-16 14:10:54,566 [repositories/fiteagle] POST SPARQL update request to repository
[INFO ] 2015-01-16 14:34:01,509 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 14:34:01,671 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:30:07,914 [MSC service thread 1-6] Logback logging API implementation is configured.
[INFO ] 2015-01-16 15:30:28,873 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:30:29,060 [default task-15] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:30:29,167 [default task-16] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:30:29,355 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:30:32,902 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:30:33,043 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:31:34,909 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:31:35,094 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:31:37,060 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:31:37,234 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:31:47,516 [MSC service thread 1-5] Logback logging API implementation is configured.
[INFO ] 2015-01-16 15:31:55,256 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:31:55,615 [default task-5] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:31:55,766 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:31:56,106 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:33:30,370 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 15:33:30,374 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:33:30,537 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:33:35,297 [repositories/fiteagle] POST transaction to repository
[INFO ] 2015-01-16 15:33:35,313 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 15:33:35,314 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:33:35,464 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:33:39,279 [repositories/fiteagle] POST transaction to repository
[INFO ] 2015-01-16 15:33:39,287 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 15:33:39,295 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:33:39,485 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:33:42,001 [repositories/fiteagle] POST transaction to repository
[INFO ] 2015-01-16 15:33:42,006 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 15:33:42,009 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:33:42,163 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:33:45,609 [repositories/fiteagle] POST transaction to repository
[INFO ] 2015-01-16 15:33:45,618 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 15:33:45,619 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:33:45,764 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:33:48,295 [repositories/fiteagle] POST transaction to repository
[INFO ] 2015-01-16 15:33:48,299 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 15:33:48,301 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:33:48,735 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-16 15:34:09,801 [repositories/fiteagle] POST transaction to repository
[INFO ] 2015-01-16 15:34:09,809 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-16 15:34:09,810 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-16 15:34:10,002 [repositories/SYSTEM] GET statements
